asset_id,filename,category,screen,component,format,aspect_ratio,alt_text,status,figma_frame,version
STEP-01,steps/step-01-workspace-and-pad-plane.svg,step,workspace,StepIllustration,svg,16:9,"Workshop with four scale pads aligned in one plane and safe clearance around the scales.",draft,04_STEP_ILLUSTRATIONS/STEP-01,1
STEP-02,steps/step-02-ride-height-and-prechecks.svg,step,vehicle-prep,StepIllustration,svg,16:9,"Side view of the car with repeatable ride-height marks and pre-check tools staged nearby.",draft,04_STEP_ILLUSTRATIONS/STEP-02,1
STEP-03,steps/step-03-race-load-and-sway-bar.svg,step,session-setup,StepIllustration,svg,16:9,"Top-down car with ballast and a sway-bar preparation inset showing the loaded setup condition.",draft,04_STEP_ILLUSTRATIONS/STEP-03,1
STEP-04,steps/step-04-roll-on-and-center.svg,step,baseline,StepIllustration,svg,16:9,"Top-down view of the car rolling onto four centered scale pads with clear approach space.",draft,04_STEP_ILLUSTRATIONS/STEP-04,1
STEP-05,steps/step-05-settle-and-record.svg,step,baseline,StepIllustration,svg,16:9,"Car resting on four scales during the settling and recording process.",draft,04_STEP_ILLUSTRATIONS/STEP-05,1
STEP-06,steps/step-06-adjustment-and-diagonal-transfer.svg,step,adjustment,StepIllustration,svg,16:9,"Split view of a coilover adjustment cutaway and the car on scales for diagonal transfer guidance.",draft,04_STEP_ILLUSTRATIONS/STEP-06,1
STEP-07,steps/step-07-torque-and-neutralize.svg,step,finalize,StepIllustration,svg,16:9,"Vehicle supported at ride height with torque and sway-bar neutralization work highlighted.",draft,04_STEP_ILLUSTRATIONS/STEP-07,1
STEP-08,steps/step-08-final-verification-and-report.svg,step,report,StepIllustration,svg,16:9,"Final verification scene with wheel torque, alignment preparation, and report export context.",draft,04_STEP_ILLUSTRATIONS/STEP-08,1
DIAGRAM-FOUR-CORNER,diagrams/diagram-four-corner-orientation.svg,diagram,results,CornerDiagram,svg,16:9,"Top-down car on four corner scales with the front of the car pointing upward and consistent LF RF LR RR orientation.",draft,04_STEP_ILLUSTRATIONS/DIAGRAM-FOUR-CORNER,1
DIAGRAM-SCALE-PAD-STATES,diagrams/diagram-scale-pad-states.svg,diagram,workspace,SafetyComparison,svg,16:9,"Three scale-pad panels comparing centered support, edge loading, and pad interference.",draft,04_STEP_ILLUSTRATIONS/DIAGRAM-SCALE-PAD-STATES,1
DIAGRAM-COILOVER-ARCHITECTURE,diagrams/diagram-coilover-architecture.svg,diagram,adjustment,SafetyComparison,svg,16:9,"Comparison of spring-seat and separate lower-mount height adjustment architectures.",draft,04_STEP_ILLUSTRATIONS/DIAGRAM-COILOVER-ARCHITECTURE,1
DIAGRAM-CROSS-WEIGHT,diagrams/diagram-cross-weight-explainer.svg,diagram,results,CornerDiagram,svg,16:9,"Top-down car geometry for explaining both diagonals and the selected cross-weight convention.",draft,04_STEP_ILLUSTRATIONS/DIAGRAM-CROSS-WEIGHT,1
SAFETY-JACK-SUPPORT,safety/safety-compare-jack-support.svg,safety,finalize,SafetyComparison,svg,16:9,"Safe and unsafe comparison for jack-only support versus rated stands or a lift.",draft,04_STEP_ILLUSTRATIONS/SAFETY-JACK-SUPPORT,1
SAFETY-PAD-INTERFERENCE,safety/safety-compare-pad-interference.svg,safety,workspace,SafetyComparison,svg,16:9,"Safe and unsafe comparison for free scale-pad travel versus ramp or chock interference.",draft,04_STEP_ILLUSTRATIONS/SAFETY-PAD-INTERFERENCE,1
SAFETY-SWAY-LINK,safety/safety-compare-sway-link.svg,safety,vehicle-prep,SafetyComparison,svg,16:9,"Safe and unsafe comparison for forced sway-bar preload versus a neutral link position.",draft,04_STEP_ILLUSTRATIONS/SAFETY-SWAY-LINK,1
SAFETY-TIRE-CENTERING,safety/safety-compare-tire-centering.svg,safety,baseline,SafetyComparison,svg,16:9,"Safe and unsafe comparison for a centered tire versus a tire near the pad edge.",draft,04_STEP_ILLUSTRATIONS/SAFETY-TIRE-CENTERING,1
SAFETY-COLLAR-LOCK,safety/safety-compare-collar-lock.svg,safety,finalize,SafetyComparison,svg,16:9,"Safe and unsafe comparison for a locked spring perch collar versus a loose collar.",draft,04_STEP_ILLUSTRATIONS/SAFETY-COLLAR-LOCK,1
SAFETY-ALIGNMENT,safety/safety-compare-alignment.svg,safety,finalize,SafetyComparison,svg,16:9,"Safe and unsafe comparison for driving before alignment verification versus after verified setup.",draft,04_STEP_ILLUSTRATIONS/SAFETY-ALIGNMENT,1
